time,user_name,user_color,message
3774,charzight,#A3A3A3,"@firmynator like the goblin he is"
3777,ananonymoussource,#1E90FF,"justin wins these yawn"
3817,violaguy32,#DAA520,"@tfresh2000 Are you and Scynor roommates?"
3847,ordxn,#FF00E8,"he had to lock in"
3974,brickofett,#00C446,"wow"
4100,mellovrotv,#FF69B4,"i didnt see anorak alt tab to 40"
4104,brickofett,#00C446,"bricko2Prayge"
4105,mellovrotv,#FF69B4,"maybe he does it in DSE intro"
4120,tfresh2000,#8A2BE2,"yes @violaguy32"
4127,ondereh,#21D9D9,"DSEGrape"
4129,staunch82,#DAA520,"oh man"
4132,brickofett,#00C446,"DSEGrape"
4139,firmynator,#7C13FF,"DSEGrape"
4166,brickofett,#00C446,"Oh my"
4178,noob9ager,,"scynor desk in shambles"
4182,staunch82,#DAA520,"DSEGrape"
4193,p53p,,"Scripted content"
4197,charzight,#A3A3A3,"is it me or are the comms like a bit delayed compared to the streams"
4207,staunch82,#DAA520,"this is cinema"
4210,carkoon,#9ACD32,"reload charzight"
4211,p53p,,"Discord has been having issues today"
4216,itsjared97,#FF0000,"who tf wrote this script man"
4219,mellovrotv,#FF69B4,"the discord stream is like 10fps so you kinda have to go off the actual twitch stream @Charzight"
4229,charzight,#A3A3A3,"@MelloVroTV yea I thought so too"
4244,brickofett,#00C446,"Yooooo"
4248,brickofett,#00C446,"He's so back"
4254,firmynator,#7C13FF,"oh my god that was scary"
4263,firmynator,#7C13FF,"shot pushed him back"
4314,frostxbytex,#1E90FF,"lock in scynor mub"
4318,staunch82,#DAA520,"bpt is so close now"
4406,brickofett,#00C446,"LMAO"
4413,ondereh,#21D9D9,"bro spoke alien there"
4417,ondereh,#21D9D9,"AlienPls"
4420,staunch82,#DAA520,"breaking character on comms smh"
4433,carkoon,#9ACD32,"the metacommunication goes crazy"
4450,eroadhouse,#2E8B57,"I'm just providing content"
4481,brickofett,#00C446,"Thank you evan"
4503,carkoon,#9ACD32,"wait, you can exit the 360 early?"
4513,carkoon,#9ACD32,"this is news to me"
4531,wilson3200,#0000FF,"can someone explain what happened on podrace I started watching right after"
4577,carkoon,#9ACD32,"wiisuper ended up backwards with the podracer and got stuck, so he had to restart"
4584,firmynator,#7C13FF,"0% despair"
4589,brickofett,#00C446,"despair"
4592,ondereh,#21D9D9,"despair"
4592,carkoon,#9ACD32,"no believers in anorak"
